,Movies,Year,Genre,Rating,One-Line Description,Stars,Votes,Run Time,Gross
166,Noah,2014,"Action, Adventure, Drama            ",5.7,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,"    DirectorDarren Aronofsky     StarsRussell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson","2,47,033",138.0,101.2
167,Takers,2010,"Action, Crime, Thriller            ",6.2,A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.,"    DirectorJohn Luessenhop     StarsChris Brown, Hayden Christensen, Matt Dillon, Michael Ealy","59,882",107.0,57.74
168,Lord of War,2005,"Action, Crime, Drama            ",7.6,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,"    DirectorAndrew Niccol     StarsNicolas Cage, Ethan Hawke, Jared Leto, Bridget Moynahan","3,00,344",122.0,24.15
169,Blue Jasmine,2013,"Comedy, Drama            ",7.3,A New York socialite deeply troubled and in denial arrives in San Francisco to impose upon her sister. She looks a million but isn't bringing money peace or love...,"    DirectorWoody Allen     StarsCate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins","1,95,580",98.0,33.41
170,The Expendables 2,2012,"Action, Adventure, Thriller            ",6.6,Mr. Church reunites the Expendables for what should be an easy paycheck but when one of their men is murdered on the job their quest for revenge puts them deep in enemy territory and up against an unexpected threat.,"    DirectorSimon West     StarsSylvester Stallone, Liam Hemsworth, Randy Couture, Jean-Claude Van Damme","2,96,948",103.0,85.02
171,Conan the Barbarian,2011,"Action, Adventure, Fantasy            ",5.2,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,"    DirectorMarcus Nispel     StarsJason Momoa, Ron Perlman, Rose McGowan, Stephen Lang","96,638",113.0,21.3
172,Battle of Britain,1969,"Action, Drama, History            ",7.0,In 1940 the British Royal Air Force fights a desperate battle to prevent the Luftwaffe from gaining air superiority over the English Channel as a prelude to a possible Axis invasion of the U.K.,"    DirectorGuy Hamilton     StarsMichael Caine, Trevor Howard, Harry Andrews, Curd Jürgens","21,366",132.0,4.36
173,Begin Again,2013,"Comedy, Drama, Music            ",7.4,A chance encounter between a down-and-out music-business executive and a young singer-songwriter new to Manhattan turns into a promising collaboration between the two talents.,"    DirectorJohn Carney     StarsKeira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld","1,47,794",104.0,16.17
174,The Invitation,2015,"Drama, Mystery, Thriller            ",6.6,A man accepts an invitation to a dinner party hosted by his ex-wife an unsettling affair that reopens old wounds and creates new tensions.,"    DirectorKaryn Kusama     StarsLogan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard","1,00,313",100.0,0.23
175,Flashdance,1983,"Drama, Music, Romance            ",6.2,A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,"    DirectorAdrian Lyne     StarsJennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson","49,826",95.0,94.9
176,Hummingbird,2013,"Action, Crime, Drama            ",6.2,A damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity.,"    DirectorSteven Knight     StarsJason Statham, Agata Buzek, Vicky McClure, Benedict Wong","68,546",100.0,0.03
177,Paddington 2,2017,"Animation, Adventure, Comedy            ",7.8,Paddington now happily settled with the Brown family and a popular member of the local community picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday only for the gift to be stolen.,"    DirectorPaul King     StarsBen Whishaw, Hugh Grant, Hugh Bonneville, Sally Hawkins","66,462",103.0,40.44
178,Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy            ",7.7,A five-year-old boy develops a relationship with Ponyo a young goldfish princess who longs to become a human after falling in love with him.,"    DirectorHayao Miyazaki     StarsCate Blanchett, Matt Damon, Liam Neeson, Tomoko Yamaguchi","1,31,204",101.0,15.09
179,Mechanic: Resurrection,2016,"Action, Adventure, Crime            ",5.7,Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.,"    DirectorDennis Gansel     StarsJason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh","79,668",98.0,21.22
180,Scary Movie 5,2013,Comedy            ,3.5,A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras they learn they're being stalked by a nefarious demon.,"    DirectorsMalcolm D. Lee, David Zucker     StarsSimon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan","67,762",88.0,32.02
181,Kill Me Three Times,2014,"Action, Comedy, Crime            ",5.9,Professional hit-man Charlie Wolfe finds himself in three tales of murder blackmail and revenge after a botched contract assignment.,"    DirectorKriv Stenders     StarsSimon Pegg, Teresa Palmer, Alice Braga, Luke Hemsworth","22,359",90.0,0.02
182,Killers,2010,"Action, Comedy, Romance            ",5.5,A vacationing woman meets her ideal man leading to a swift marriage. Back at home however their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.,"    DirectorRobert Luketic     StarsKatherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara","89,080",100.0,47.06
183,The Lorax,2012,"Animation, Adventure, Comedy            ",6.4,A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax the grumpy yet charming creature who fights to protect his world.,"    DirectorsChris Renaud, Kyle Balda     StarsZac Efron, Taylor Swift, Danny DeVito, Ed Helms","1,03,009",86.0,214.03
184,Alice Through the Looking Glass,2016,"Adventure, Family, Fantasy            ",6.2,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,"    DirectorJames Bobin     StarsMia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway","98,302",113.0,77.04
185,Macbeth,2015,"Drama, History, War            ",6.6,Macbeth the Thane of Glamis receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife Macbeth murders his king and takes the throne for himself.,"    DirectorJustin Kurzel     StarsMichael Fassbender, Marion Cotillard, Jack Madigan, Frank Madigan","54,067",113.0,1.11
186,The Infiltrator,2016,"Biography, Crime, Drama            ",7.0,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,"    DirectorBrad Furman     StarsBryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan","70,858",127.0,15.43
187,Doom,2005,"Action, Horror, Sci-Fi            ",5.2,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.,"    DirectorAndrzej Bartkowiak     StarsKarl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei","1,10,028",105.0,28.21
188,Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy            ",8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"    DirectorHayao Miyazaki     StarsSumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya","1,57,520",117.0,0.5
