,Movies,Year,Genre,Rating,One-Line Description,Stars,Votes,Run Time,Gross
0,The Hitman's Bodyguard,2017,"Action, Comedy, Crime            ",6.9,The world's top bodyguard gets a new client a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.,"    DirectorPatrick Hughes     StarsRyan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung","2,05,979",118.0,75.47
1,Jurassic Park,1993,"Action, Adventure, Sci-Fi            ",8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"    DirectorSteven Spielberg     StarsSam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","8,97,444",127.0,402.45
2,Don't Breathe,2016,"Crime, Horror, Thriller            ",7.1,Hoping to walk away with a massive fortune a trio of thieves break into the house of a blind man who isn't as helpless as he seems.,"    DirectorFede Alvarez     StarsStephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto","2,37,601",88.0,89.22
3,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama            ",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"    DirectorPeter Jackson     StarsElijah Wood, Ian McKellen, Orlando Bloom, Sean Bean","17,13,028",178.0,315.54
4,Escape Room,2019,"Action, Adventure, Horror            ",6.4,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,"    DirectorAdam Robitel     StarsTaylor Russell, Logan Miller, Jay Ellis, Tyler Labine","99,351",99.0,57.01
5,Jaws,1975,"Adventure, Thriller            ",8.0,When a killer shark unleashes chaos on a beach community it's up to a local sheriff a marine biologist and an old seafarer to hunt the beast down.,"    DirectorSteven Spielberg     StarsRoy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary","5,58,731",124.0,260.0
6,The Departed,2006,"Crime, Drama, Thriller            ",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"    DirectorMartin Scorsese     StarsLeonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","12,27,522",151.0,132.38
7,Gone Girl,2014,"Drama, Mystery, Thriller            ",8.1,With his wife's disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when it's suspected that he may not be innocent.,"    DirectorDavid Fincher     StarsBen Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","8,95,888",149.0,167.77
8,Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy            ",6.9,Four teenagers are sucked into a magical video game and the only way they can escape is to work together to finish the game.,"    DirectorJake Kasdan     StarsDwayne Johnson, Karen Gillan, Kevin Hart, Jack Black","3,37,900",119.0,404.52
9,American Psycho,2000,"Comedy, Crime, Drama            ",7.6,A wealthy New York City investment banking executive Patrick Bateman hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent hedonistic fantasies.,"    DirectorMary Harron     StarsChristian Bale, Justin Theroux, Josh Lucas, Bill Sage","5,17,014",101.0,15.07
10,Kill Bill: Vol. 1,2003,"Action, Crime, Drama            ",8.1,After awakening from a four-year coma a former assassin wreaks vengeance on the team of assassins who betrayed her.,"    DirectorQuentin Tarantino     StarsUma Thurman, David Carradine, Daryl Hannah, Michael Madsen","10,34,554",111.0,70.1
11,300,2006,"Action, Drama            ",7.6,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,"    DirectorZack Snyder     StarsGerard Butler, Lena Headey, David Wenham, Dominic West","7,51,815",117.0,210.61
12,It,2017,Horror            ,7.3,In the summer of 1989 a group of bullied kids band together to destroy a shape-shifting monster which disguises itself as a clown and preys on the children of Derry their small Maine town.,"    DirectorAndy Muschietti     StarsBill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis","4,80,607",135.0,327.48
13,Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi            ",7.5,Following the events of Avengers: Endgame (2019) Spider-Man must step up to take on new threats in a world that has changed forever.,"    DirectorJon Watts     StarsTom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei","3,63,012",129.0,390.53
14,The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy            ",7.8,A reluctant Hobbit Bilbo Baggins sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.,"    DirectorPeter Jackson     StarsMartin Freeman, Ian McKellen, Richard Armitage, Andy Serkis","7,74,632",169.0,303.0
15,Clueless,1995,"Comedy, Romance            ",6.8,Shallow rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker Cher first coaxes two teachers into dating each other.,"    DirectorAmy Heckerling     StarsAlicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd","1,94,461",97.0,56.63
16,Baywatch,2017,"Action, Comedy, Crime            ",5.5,Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit as they uncover a criminal plot that threatens the future of the bay.,"    DirectorSeth Gordon     StarsDwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas","1,70,844",116.0,58.06
17,Fast & Furious 7,2015,"Action, Adventure, Thriller            ",7.1,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"    DirectorJames Wan     StarsVin Diesel, Paul Walker, Dwayne Johnson, Jason Statham","3,71,194",137.0,353.01
18,Sicario,2015,"Action, Crime, Drama            ",7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"    DirectorDenis Villeneuve     StarsEmily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal","3,87,903",121.0,46.89
19,The Irishman,2019,"Biography, Crime, Drama            ",7.8,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,"    DirectorMartin Scorsese     StarsRobert De Niro, Al Pacino, Joe Pesci, Harvey Keitel","3,45,455",209.0,7.0
20,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama            ",8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"    DirectorPeter Jackson     StarsElijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom","16,91,777",201.0,377.85
21,Baby Driver,2017,"Action, Crime, Drama            ",7.6,After being coerced into working for a crime boss a young getaway driver finds himself taking part in a heist doomed to fail.,"    DirectorEdgar Wright     StarsAnsel Elgort, Jon Bernthal, Jon Hamm, Eiza González","4,68,655",113.0,107.83
22,Spider-Man,2002,"Action, Adventure, Sci-Fi            ",7.3,When bitten by a genetically modified spider a nerdy shy and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.,"    DirectorSam Raimi     StarsTobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco","7,09,684",121.0,403.71
23,Jumanji: The Next Level,2019,"Action, Adventure, Comedy            ",6.7,In Jumanji: The Next Level the gang is back but the game has changed. As they return to rescue one of their own the players will have to brave parts unknown from arid deserts to snowy mountains to escape the world's most dangerous game.,"    DirectorJake Kasdan     StarsDwayne Johnson, Jack Black, Kevin Hart, Karen Gillan","2,05,638",123.0,316.83
24,Arrival,2016,"Drama, Sci-Fi            ",7.9,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,"    DirectorDenis Villeneuve     StarsAmy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg","6,23,912",116.0,100.55
25,Taxi Driver,1976,"Crime, Drama            ",8.2,A mentally unstable veteran works as a nighttime taxi driver in New York City where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.,"    DirectorMartin Scorsese     StarsRobert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks","7,52,553",114.0,28.26
26,Grease,1978,"Musical, Romance            ",7.2,Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school will they be able to rekindle their romance,"    DirectorRandal Kleiser     StarsJohn Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway","2,50,587",110.0,188.76
27,Venom,2018,"Action, Adventure, Sci-Fi            ",6.7,A failed reporter is bonded to an alien entity one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.,"    DirectorRuben Fleischer     StarsTom Hardy, Michelle Williams, Riz Ahmed, Scott Haze","3,90,167",112.0,213.52
28,The Fate of the Furious,2017,"Action, Adventure, Crime            ",6.6,When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him the crew face trials that will test them as never before.,"    DirectorF. Gary Gray     StarsVin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez","2,15,795",136.0,226.01
29,Captain America: Civil War,2016,"Action, Adventure, Sci-Fi            ",7.8,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,"    DirectorsAnthony Russo, Joe Russo     StarsChris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","6,97,750",147.0,408.08
30,Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family            ",8.6,During her family's move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts.,"    DirectorHayao Miyazaki     StarsDaveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi","6,82,809",125.0,10.06
31,The Girl in the Spider's Web,2018,"Action, Crime, Drama            ",6.1,Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies cybercriminals and corrupt government officials.,"    DirectorFede Alvarez     StarsClaire Foy, Beau Gadsdon, Sverrir Gudnason, LaKeith Stanfield","43,896",115.0,14.84
32,Kong: Skull Island,2017,"Action, Adventure, Fantasy            ",6.6,After the Vietnam war a team of scientists explores an uncharted island in the Pacific venturing into the domain of the mighty Kong and must fight to escape a primal Eden.,"    DirectorJordan Vogt-Roberts     StarsTom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly","2,94,292",118.0,168.05
33,The Revenant,2015,"Action, Adventure, Drama            ",8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"    DirectorAlejandro G. Iñárritu     StarsLeonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson","7,32,244",156.0,183.64
34,The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama            ",8.7,While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum the divided fellowship makes a stand against Sauron's new ally Saruman and his hordes of Isengard.,"    DirectorPeter Jackson     StarsElijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom","15,29,752",179.0,342.55
35,Legally Blonde,2001,"Comedy, Romance            ",6.3,Elle Woods a fashionable sorority queen is dumped by her boyfriend. She decides to follow him to law school. While she is there she figures out that there is more to her than just looks.,"    DirectorRobert Luketic     StarsReese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis","1,95,752",96.0,96.52
36,Ocean's Eight,2018,"Action, Comedy, Crime            ",6.3,Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,"    DirectorGary Ross     StarsSandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling","1,97,909",110.0,140.22
37,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action, Adventure, Fantasy            ",6.5,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,"    DirectorsJoachim Rønning, Espen Sandberg     StarsJohnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom","2,76,173",129.0,172.56
38,2001: A Space Odyssey,1968,"Adventure, Sci-Fi            ",8.3,After discovering a mysterious artifact buried beneath the Lunar surface mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.,"    DirectorStanley Kubrick     StarsKeir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","6,22,998",149.0,56.95
39,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi            ",6.4,Fearing that the actions of Superman are left unchecked Batman takes on the Man of Steel while the world wrestles with what kind of a hero it really needs.,"    DirectorZack Snyder     StarsBen Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","6,57,423",152.0,330.36
40,Mother!,2017,"Drama, Horror, Mystery            ",6.6,A couple's relationship is tested when uninvited guests arrive at their home disrupting their tranquil existence.,"    DirectorDarren Aronofsky     StarsJennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer","2,01,141",121.0,17.8
41,National Lampoon's Animal House,1978,Comedy            ,7.5,At a 1962 college Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity but those troublemakers have other plans for him.,"    DirectorJohn Landis     StarsJohn Belushi, Karen Allen, Tom Hulce, Stephen Furst","1,15,289",109.0,0.2
42,Midnight in Paris,2011,"Comedy, Fantasy, Romance            ",7.7,While on a trip to Paris with his fiancée's family a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.,"    DirectorWoody Allen     StarsOwen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller","3,99,157",94.0,56.82
43,Kill Bill: Vol. 2,2004,"Action, Crime, Thriller            ",8.0,The Bride continues her quest of vengeance against her former boss and lover Bill the reclusive bouncer Budd and the treacherous one-eyed Elle.,"    DirectorQuentin Tarantino     StarsUma Thurman, David Carradine, Michael Madsen, Daryl Hannah","7,06,053",137.0,66.21
44,Moneyball,2011,"Biography, Drama, Sport            ",7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,"    DirectorBennett Miller     StarsBrad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman","3,86,263",133.0,75.61
45,Snowpiercer,2013,"Action, Drama, Sci-Fi            ",7.1,In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer a train that travels around the globe a new class system emerges.,"    DirectorBong Joon Ho     StarsChris Evans, Jamie Bell, Tilda Swinton, Ed Harris","3,35,946",126.0,4.56
46,300: Rise of an Empire,2014,"Action, Drama            ",6.2,Greek general Themistokles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia vengeful commander of the Persian navy.,"    DirectorNoam Murro     StarsSullivan Stapleton, Eva Green, Lena Headey, Hans Matheson","2,86,734",102.0,106.58
47,Kimi no na wa.,2016,"Animation, Drama, Fantasy            ",8.4,Two strangers find themselves linked in a bizarre way. When a connection forms will distance be the only thing to keep them apart,"    DirectorMakoto Shinkai     StarsRyûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki","2,17,433",106.0,5.02
48,Booksmart,2019,Comedy            ,7.2,On the eve of their high school graduation two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers the girls try to cram four years of fun into one night.,"    DirectorOlivia Wilde     StarsKaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis","1,03,143",102.0,22.68
49,Jaws 2,1978,"Adventure, Horror, Thriller            ",5.8,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,"    DirectorJeannot Szwarc     StarsRoy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo","73,931",116.0,102.92
50,Tropic Thunder,2008,"Action, Comedy, War            ",7.0,Through a series of freak occurrences a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.,"    DirectorBen Stiller     StarsBen Stiller, Jack Black, Robert Downey Jr., Jeff Kahn","3,91,033",107.0,110.52
51,Beauty and the Beast,2017,"Family, Fantasy, Musical            ",7.1,A selfish Prince is cursed to become a monster for the rest of his life unless he learns to fall in love with a beautiful young woman he keeps prisoner.,"    DirectorBill Condon     StarsEmma Watson, Dan Stevens, Luke Evans, Josh Gad","2,84,484",129.0,504.01
52,Hell or High Water,2016,"Action, Crime, Drama            ",7.6,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,"    DirectorDavid Mackenzie     StarsChris Pine, Ben Foster, Jeff Bridges, Gil Birmingham","2,11,816",102.0,26.86
53,Marriage Story,2019,"Comedy, Drama, Romance            ",7.9,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"    DirectorNoah Baumbach     StarsAdam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson","2,66,307",137.0,2.0
54,Annihilation,2018,"Adventure, Drama, Horror            ",6.8,A biologist signs up for a dangerous secret expedition into a mysterious zone where the laws of nature don't apply.,"    DirectorAlex Garland     StarsNatalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong","2,93,459",115.0,32.73
55,Wind River,2017,"Crime, Drama, Mystery            ",7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,"    DirectorTaylor Sheridan     StarsElizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille","2,18,337",107.0,33.8
56,Frozen,2013,"Animation, Adventure, Comedy            ",7.4,When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter her sister Anna teams up with a mountain man his playful reindeer and a snowman to change the weather condition.,"    DirectorsChris Buck, Jennifer Lee     StarsKristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","5,86,769",102.0,400.74
57,Lo imposible,2012,"Drama, History, Thriller            ",7.6,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,"    DirectorJ.A. Bayona     StarsNaomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast","2,08,903",114.0,19.02
58,The Nice Guys,2016,"Action, Comedy, Crime            ",7.4,In 1970s Los Angeles a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.,"    DirectorShane Black     StarsRussell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer","2,95,435",116.0,36.26
59,The Snowman,2017,"Crime, Drama, Thriller            ",5.1,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,"    DirectorTomas Alfredson     StarsMichael Fassbender, Rebecca Ferguson, Charlotte Gainsbourg, Jonas Karlsson","60,354",119.0,6.67
60,Moonrise Kingdom,2012,"Comedy, Drama, Romance            ",7.8,A pair of young lovers flee their New England town which causes a local search party to fan out to find them.,"    DirectorWes Anderson     StarsJared Gilman, Kara Hayward, Bruce Willis, Bill Murray","3,28,550",94.0,45.51
61,Contagion,2011,"Drama, Thriller            ",6.7,Healthcare professionals government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.,"    DirectorSteven Soderbergh     StarsMatt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow","2,90,444",106.0,75.66
62,This Is England,2006,"Crime, Drama            ",7.7,A young boy becomes friends with a gang of skinheads. Friends soon become like family and relationships will be pushed to the very limit.,"    DirectorShane Meadows     StarsThomas Turgoose, Stephen Graham, Jo Hartley, Andrew Shim","1,17,889",101.0,0.33
63,Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical            ",7.8,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,"    DirectorMel Stuart     StarsGene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear","1,86,202",100.0,4.0
64,Homefront,2013,"Action, Crime, Thriller            ",6.5,A former DEA agent moves his family to a quiet town where he soon tangles with a local meth druglord.,"    DirectorGary Fleder     StarsJason Statham, James Franco, Winona Ryder, Kate Bosworth","1,13,476",100.0,20.16
65,Dead Poets Society,1989,"Comedy, Drama            ",8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"    DirectorPeter Weir     StarsRobin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles","4,43,357",128.0,95.86
66,There's Something About Mary,1998,"Comedy, Romance            ",7.1,A man gets a chance to meet up with his dream girl from high school even though his date with her back then was a complete disaster.,"    DirectorsBobby Farrelly, Peter Farrelly     StarsCameron Diaz, Matt Dillon, Ben Stiller, Lee Evans","2,98,729",119.0,176.48
67,Lucy,2014,"Action, Sci-Fi, Thriller            ",6.4,A woman accidentally caught in a dark deal turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.,"    DirectorLuc Besson     StarsScarlett Johansson, Morgan Freeman, Choi Min-sik, Amr Waked","4,62,122",89.0,126.66
68,The Mummy,2017,"Action, Adventure, Fantasy            ",5.4,An ancient Egyptian princess is awakened from her crypt beneath the desert bringing with her malevolence grown over millennia and terrors that defy human comprehension.,"    DirectorAlex Kurtzman     StarsTom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe","1,77,592",110.0,80.1
69,Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama            ",7.7,A washed-up superhero actor attempts to revive his fading career by writing directing and starring in a Broadway production.,"    DirectorAlejandro G. Iñárritu     StarsMichael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough","5,95,946",119.0,42.34
70,Knock Knock,2015,"Drama, Thriller            ",4.9,A devoted father helps two stranded young women who knock on his door but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.,"    DirectorEli Roth     StarsKeanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns","87,474",99.0,0.04
71,Hauru no ugoku shiro,2004,"Animation, Adventure, Family            ",8.2,When an unconfident young woman is cursed with an old body by a spiteful witch her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged walking castle.,"    DirectorHayao Miyazaki     StarsChieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa","3,51,466",119.0,4.71
72,Now You See Me,2013,"Crime, Mystery, Thriller            ",7.2,An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,"    DirectorLouis Leterrier     StarsJesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson","6,14,056",115.0,117.72
73,The Lost World: Jurassic Park,1997,"Action, Adventure, Sci-Fi            ",6.6,A research team is sent to the Jurassic Park Site B island to study the dinosaurs there while an InGen team approaches with another agenda.,"    DirectorSteven Spielberg     StarsJeff Goldblum, Julianne Moore, Pete Postlethwaite, Vince Vaughn","3,90,425",129.0,229.09
74,Geostorm,2017,"Action, Sci-Fi, Thriller            ",5.3,When the network of satellites designed to control the global climate starts to attack Earth it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.,"    DirectorDean Devlin     StarsGerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara","99,724",109.0,33.7
75,Sausage Party,2016,"Animation, Adventure, Comedy            ",6.1,A sausage strives to discover the truth about his existence.,"    DirectorsGreg Tiernan, Conrad Vernon     StarsSeth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell","1,81,775",89.0,97.69
76,The Next Three Days,2010,"Action, Crime, Drama            ",7.3,A married couple's life is turned upside down when the wife is accused of a murder.,"    DirectorPaul Haggis     StarsRussell Crowe, Elizabeth Banks, Liam Neeson, Michael Buie","1,89,815",133.0,21.15
77,Moonlight,2016,Drama            ,7.4,A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood adolescence and burgeoning adulthood.,"    DirectorBarry Jenkins     StarsMahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert","2,85,273",111.0,27.85
78,In the Heart of the Sea,2015,"Action, Adventure, Biography            ",6.9,A recounting of a New England whaling ship's sinking by a giant whale in 1820 an experience that later inspired the great novel Moby-Dick.,"    DirectorRon Howard     StarsChris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw","1,28,605",122.0,25.02
79,Contact,1997,"Drama, Mystery, Sci-Fi            ",7.5,Dr. Ellie Arroway after years of searching finds conclusive radio proof of extraterrestrial intelligence sending plans for a mysterious machine.,"    DirectorRobert Zemeckis     StarsJodie Foster, Matthew McConaughey, Tom Skerritt, John Hurt","2,61,289",150.0,100.92
80,Climax,2018,"Drama, Horror, Music            ",7.0,French dancers gather in a remote empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.,"    DirectorGaspar Noé     StarsSofia Boutella, Romain Guillermic, Souheila Yacoub, Kiddy Smile","58,051",97.0,0.8
81,Gods of Egypt,2016,"Action, Adventure, Fantasy            ",5.4,Mortal hero Bek teams with the god Horus in an alliance against Set the merciless god of darkness who has usurped Egypt's throne plunging the once peaceful and prosperous empire into chaos and conflict.,"    DirectorAlex Proyas     StarsBrenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman","1,09,959",127.0,31.15
82,Kung Fu Panda 3,2016,"Animation, Action, Adventure            ",7.1,Continuing his legendary adventures of awesomeness Po must face two hugely epic but different threats: one supernatural and the other a little closer to home.,"    DirectorsAlessandro Carloni, Jennifer Yuh Nelson     StarsJack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","1,41,657",95.0,143.53
83,Ender's Game,2013,"Action, Adventure, Fantasy            ",6.6,Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.,"    DirectorGavin Hood     StarsHarrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin","2,28,812",114.0,61.74
84,Planet of the Apes,1968,"Adventure, Sci-Fi            ",8.0,An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species and humans are the oppressed and enslaved.,"    DirectorFranklin J. Schaffner     StarsCharlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans","1,70,681",112.0,33.4
85,Downsizing,2017,"Drama, Fantasy, Sci-Fi            ",5.7,A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall allowing him to live in wealth and splendor.,"    DirectorAlexander Payne     StarsMatt Damon, Christoph Waltz, Hong Chau, Kristen Wiig","1,02,222",135.0,24.45
86,Lone Survivor,2013,"Action, Biography, Drama            ",7.5,Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.,"    DirectorPeter Berg     StarsMark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster","2,73,061",121.0,125.1
87,The Founder,2016,"Biography, Drama            ",7.2,The story of Ray Kroc a salesman who turned two brothers' innovative fast food eatery McDonald's into the biggest restaurant business in the world with a combination of ambition persistence and ruthlessness.,"    DirectorJohn Lee Hancock     StarsMichael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini","1,34,759",115.0,12.79
88,Mononoke-hime,1997,"Animation, Action, Adventure            ",8.4,On a journey to find the cure for a Tatarigami's curse Ashitaka finds himself in the middle of a war between the forest gods and Tatara a mining colony. In this quest he also meets San the Mononoke Hime.,"    DirectorHayao Miyazaki     StarsYôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup","3,59,473",134.0,2.38
89,101 Dalmatians,1996,"Adventure, Comedy, Crime            ",5.7,An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat but instead creates an extravagant mess.,"    DirectorStephen Herek     StarsGlenn Close, Jeff Daniels, Joely Richardson, Joan Plowright","1,06,580",103.0,136.19
90,Rampage,2018,"Action, Adventure, Sci-Fi            ",6.1,When three different animals become infected with a dangerous pathogen a primatologist and a geneticist team up to stop them from destroying Chicago.,"    DirectorBrad Peyton     StarsDwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan","1,51,688",107.0,101.03
91,The Croods,2013,"Animation, Adventure, Comedy            ",7.2,After their cave is destroyed a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.,"    DirectorsKirk DeMicco, Chris Sanders     StarsNicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener","2,00,206",98.0,187.17
